attempt    K    arraySize    mergeSortTime    hybridSortTime
5    77    5000    0.005296    0.005464
5    78    5000    0.005296    0.005633
5    79    5000    0.005298    0.005580
5    80    5000    0.005300    0.005652
6    0    5000    0.005296    0.005480
6    1    5000    0.005293    0.004990
6    2    5000    0.005297    0.004695
6    3    5000    0.005302    0.004658
6    4    5000    0.005296    0.004288
6    5    5000    0.005299    0.004290
6    6    5000    0.005296    0.004275
6    7    5000    0.005301    0.004283
6    8    5000    0.005294    0.004235
6    9    5000    0.005300    0.004089
6    10    5000    0.005302    0.004070
6    11    5000    0.005301    0.004065
6    12    5000    0.005299    0.004065
6    13    5000    0.005302    0.004071
6    14    5000    0.005296    0.004074
6    15    5000    0.005297    0.004073
6    16    5000    0.005307    0.004069
6    17    5000    0.005299    0.004079
6    18    5000    0.005299    0.004042
6    19    5000    0.005298    0.004043
6    20    5000    0.005296    0.004042
6    21    5000    0.005301    0.003970
6    22    5000    0.005300    0.004016
6    23    5000    0.005297    0.004031
6    24    5000    0.005293    0.004038
6    25    5000    0.005297    0.004043
6    26    5000    0.005299    0.004039
6    27    5000    0.005308    0.004046
6    28    5000    0.005301    0.004043
6    29    5000    0.005302    0.004035
6    30    5000    0.005297    0.004034
6    31    5000    0.005298    0.004033
6    32    5000    0.005296    0.004045
6    33    5000    0.005297    0.004039
6    34    5000    0.005306    0.004041
6    35    5000    0.005290    0.004027
6    36    5000    0.005295    0.004047
6    37    5000    0.005296    0.004021
6    38    5000    0.005305    0.004378
6    39    5000    0.005300    0.004396
6    40    5000    0.005296    0.004418
6    41    5000    0.005298    0.004385
6    42    5000    0.005303    0.004394
6    43    5000    0.005299    0.004389
6    44    5000    0.005303    0.004377
6    45    5000    0.005297    0.004408
6    46    5000    0.005292    0.004404
6    47    5000    0.005302    0.004404
6    48    5000    0.005308    0.004405
6    49    5000    0.005296    0.004415
6    50    5000    0.005292    0.004391
6    51    5000    0.005299    0.004417
6    52    5000    0.005304    0.004440
6    53    5000    0.005300    0.004389
6    54    5000    0.005297    0.004405
6    55    5000    0.005295    0.004419
6    56    5000    0.005299    0.004414
6    57    5000    0.005301    0.004396
6    58    5000    0.005304    0.004414
