attempt    K    arraySize    mergeSortTime    hybridSortTime
564    43    564    0.000169    0.000080
565    43    565    0.000169    0.000081
566    43    566    0.000169    0.000082
567    43    567    0.000170    0.000081
568    43    568    0.000170    0.000082
569    43    569    0.000175    0.000080
570    43    570    0.000170    0.000081
571    43    571    0.000171    0.000082
572    43    572    0.000171    0.000082
573    43    573    0.000171    0.000082
574    43    574    0.000170    0.000082
575    43    575    0.000170    0.000081
576    43    576    0.000171    0.000082
577    43    577    0.000172    0.000083
578    43    578    0.000173    0.000082
579    43    579    0.000174    0.000084
580    43    580    0.000174    0.000082
581    43    581    0.000174    0.000083
582    43    582    0.000175    0.000083
583    43    583    0.000175    0.000084
584    43    584    0.000176    0.000085
585    43    585    0.000176    0.000084
586    43    586    0.000176    0.000083
587    43    587    0.000176    0.000085
588    43    588    0.000176    0.000083
589    43    589    0.000175    0.000085
590    43    590    0.000179    0.000083
591    43    591    0.000177    0.000085
592    43    592    0.000176    0.000085
593    43    593    0.000180    0.000085
594    43    594    0.000179    0.000086
595    43    595    0.000180    0.000085
596    43    596    0.000180    0.000088
597    43    597    0.000180    0.000085
598    43    598    0.000180    0.000086
599    43    599    0.000180    0.000087
600    43    600    0.000179    0.000085
601    43    601    0.000182    0.000086
602    43    602    0.000181    0.000086
603    43    603    0.000188    0.000088
604    43    604    0.000182    0.000088
605    43    605    0.000183    0.000086
606    43    606    0.000183    0.000088
607    43    607    0.000182    0.000088
608    43    608    0.000183    0.000088
609    43    609    0.000183    0.000089
610    43    610    0.000183    0.000090
611    43    611    0.000182    0.000088
612    43    612    0.000184    0.000086
613    43    613    0.000184    0.000089
614    43    614    0.000185    0.000089
615    43    615    0.000186    0.000090
616    43    616    0.000185    0.000090
617    43    617    0.000186    0.000090
618    43    618    0.000186    0.000090
619    43    619    0.000185    0.000091
620    43    620    0.000186    0.000090
621    43    621    0.000187    0.000091
622    43    622    0.000189    0.000091
623    43    623    0.000187    0.000090
624    43    624    0.000187    0.000091
625    43    625    0.000188    0.000090
626    43    626    0.000188    0.000091
627    43    627    0.000188    0.000092
628    43    628    0.000188    0.000090
629    43    629    0.000191    0.000092
630    43    630    0.000190    0.000094
631    43    631    0.000190    0.000092
632    43    632    0.000190    0.000093
633    43    633    0.000190    0.000094
634    43    634    0.000189    0.000092
635    43    635    0.000194    0.000093
636    43    636    0.000190    0.000095
637    43    637    0.000191    0.000093
638    43    638    0.000192    0.000093
639    43    639    0.000190    0.000093
640    43    640    0.000193    0.000095
641    43    641    0.000192    0.000095
642    43    642    0.000192    0.000096
643    43    643    0.000191    0.000094
644    43    644    0.000191    0.000095
645    43    645    0.000193    0.000094
646    43    646    0.000195    0.000094
647    43    647    0.000195    0.000097
648    43    648    0.000195    0.000096
649    43    649    0.000195    0.000095
650    43    650    0.000195    0.000097
651    43    651    0.000196    0.000098
652    43    652    0.000197    0.000096
653    43    653    0.000196    0.000096
654    43    654    0.000197    0.000097
655    43    655    0.000197    0.000097
656    43    656    0.000199    0.000098
657    43    657    0.000198    0.000097
658    43    658    0.000198    0.000097
659    43    659    0.000200    0.000097
660    43    660    0.000200    0.000099
661    43    661    0.000199    0.000098
662    43    662    0.000201    0.000099
663    43    663    0.000200    0.000099
664    43    664    0.000201    0.000101
665    43    665    0.000201    0.000106
666    43    666    0.000203    0.000100
667    43    667    0.000203    0.000101
